ci_year,ci_term,si_grad,si_ent_gubun,agescale,si_sex,si_last_hak,schoarYn,accept_point,avg_logincnt,avg_att_time,avg_att_rate,avg_bbscnt,avg_startlogin,entYn,classcnt,pre_avg_te_avg,pre_avg_te_passrate,pre_gradcnt,counsel,stdResult
2015,1,4,1,60,1,1,1,0,87,228,99.56,0,38,0,5,3.5,100,7,0,1
2015,1,4,1,30,2,1,1,0,26,112,85.52,0,18,0,4,2,100,10,0,1
2015,1,4,1,40,2,2,0,0,26,178,100,0,13,0,3,2.5,100,10,0,1
2015,1,4,1,20,1,2,0,0,8,100,84.21,0,5,0,6,2,100,8,0,1
2015,1,4,1,30,1,2,0,0,5,4,81.58,0,4,0,1,0,0,12,0,1
2015,1,4,1,40,1,1,1,0,82,236,100,0,37,0,6,3.82,100,7,0,1
2015,1,4,1,40,2,2,0,0,61,132,100,0,30,0,3,3.25,100,10,0,1
2015,1,4,1,40,1,2,0,0,17,29,86.89,0,8,0,4,2.75,100,11,0,1
2015,1,4,1,40,2,1,0,0,36,66,100,2,15,0,2,3.63,100,8,0,1
2015,1,4,1,50,2,2,1,0,69,192,100,0,30,0,5,3.43,100,7,0,1
2015,1,4,1,30,1,1,1,0,57,291,86.42,0,27,0,4,2.1,100,7,0,1
2015,1,4,1,30,2,2,0,0,17,279,92.88,1,9,0,6,2.75,100,9,0,1
2015,1,4,2,30,1,2,0,70,35,24,97.06,0,18,0,2,2.08,0,2,1,1
2015,1,4,2,20,1,2,0,70,21,214,71.08,1,10,0,6,2.33,100,2,0,1
2015,1,4,2,30,1,1,0,35,11,72,94.12,0,4,0,1,3,100,8,0,1
2015,1,3,1,20,1,2,0,0,73,277,100,1,35,0,6,2.75,100,5,0,1
2015,1,4,1,20,1,1,0,0,6,89,86.25,0,4,0,6,2.5,100,7,0,1
2015,1,4,2,30,1,3,1,35,49,165,100,0,24,0,5,2.3,100,4,0,1
2015,1,4,2,20,2,3,0,35,23,76,98.69,0,14,0,2,2.71,100,4,0,1
2015,1,4,2,40,1,1,1,35,20,73,100,0,10,0,2,2.27,100,7,0,1
2015,1,4,2,60,1,2,1,70,22,67,100,0,10,0,1,4,100,5,0,1
2015,1,4,2,50,2,3,1,70,21,190,100,2,10,0,3,4,100,6,0,1
2015,1,4,2,20,2,2,0,70,48,178,86.84,0,25,0,4,3.8,100,4,0,1
2015,1,4,2,30,2,2,1,70,50,189,100,0,26,0,6,2.92,100,3,0,1
2015,1,4,2,20,2,2,0,70,48,167,94.74,0,20,0,4,2.63,100,4,0,1
2015,1,4,2,30,1,2,0,70,42,168,100,0,13,0,3,1.9,100,4,0,1
2015,1,4,2,30,2,2,0,70,35,137,94.43,0,12,0,2,2.33,100,4,0,1
2015,1,4,2,30,1,2,1,70,32,233,97.14,0,9,0,3,1.23,0,6,0,1
2015,1,4,2,30,1,2,1,70,32,454,92.98,0,13,0,6,2.83,100,2,0,1
2015,1,4,2,30,1,2,1,70,32,176,88.38,0,16,0,3,1.33,0,4,0,1
2015,1,4,2,30,1,2,0,70,29,283,78.99,1,16,0,4,1.42,0,6,0,1
2015,1,4,2,30,1,1,1,70,14,42,66.45,0,9,0,4,2.29,100,6,0,1
2015,1,4,2,30,1,2,0,70,54,303,100,0,24,0,4,3.38,100,3,0,1
2015,1,4,2,40,2,2,0,70,28,126,100,0,13,0,6,1.58,100,2,0,1
2015,1,4,2,40,2,3,0,35,32,10,100,0,15,0,1,3.5,100,15,0,1
2015,1,4,1,30,1,2,0,0,4,9,57.89,0,2,0,2,1.83,0,13,0,1
